iter	Passed	Remaining
0	6	598
1	10	525
2	15	492
3	19	462
4	21	414
5	24	378
6	26	356
7	29	337
8	33	336
9	35	322
10	38	308
11	40	298
12	43	287
13	45	276
14	47	269
15	49	260
16	51	250
17	52	241
18	54	232
19	56	226
20	58	218
21	59	211
22	63	211
23	65	206
24	66	200
25	68	195
26	70	190
27	71	184
28	73	179
29	75	175
30	77	173
31	80	170
32	81	165
33	83	161
34	84	157
35	86	153
36	88	150
37	89	146
38	92	144
39	93	140
40	95	137
41	96	132
42	97	129
43	99	127
44	101	123
45	103	120
46	104	117
47	107	116
48	109	113
49	110	110
50	112	107
51	113	104
52	115	102
53	116	99
54	117	96
55	119	93
56	121	91
57	124	89
58	125	87
59	127	84
60	129	82
61	131	80
62	132	77
63	134	75
64	138	74
65	139	71
66	142	69
67	143	67
68	145	65
69	146	62
70	148	60
71	151	58
72	153	56
73	155	54
74	157	52
75	158	50
76	160	47
77	161	45
78	163	43
79	167	41
80	168	39
81	170	37
82	171	35
83	173	33
84	175	30
85	176	28
86	178	26
87	180	24
88	182	22
89	184	20
90	185	18
91	187	16
92	189	14
93	190	12
94	192	10
95	193	8
96	196	6
97	197	4
98	199	2
99	200	0
