iter	Passed	Remaining
0	1341	1339721
1	1342	670101
2	1347	447853
3	1349	335969
4	1350	268844
5	1352	224123
6	1354	192144
7	1356	168165
8	1358	149595
9	1361	134752
10	1362	122528
11	1364	112339
12	1366	103721
13	1368	96357
14	1371	90076
15	1373	84465
16	1375	79509
17	1376	75100
18	1378	71157
19	1379	67611
20	1381	64411
21	1384	61563
22	1386	58897
23	1388	56456
24	1390	54213
25	1391	52141
26	1393	50229
27	1398	48563
28	1401	46927
29	1403	45388
30	1405	43945
31	1407	42585
32	1409	41304
33	1414	40188
34	1416	39049
35	1418	37975
36	1420	36961
37	1421	35996
38	1423	35083
39	1428	34289
40	1430	33457
41	1432	32675
42	1434	31926
43	1436	31203
44	1437	30512
45	1439	29852
46	1443	29260
47	1444	28652
48	1446	28070
49	1447	27511
50	1449	26974
51	1451	26459
52	1453	25962
53	1456	25521
54	1458	25065
55	1460	24619
56	1462	24188
57	1463	23772
58	1465	23370
59	1466	22981
60	1468	22604
61	1472	22274
62	1474	21925
63	1475	21586
64	1477	21258
65	1479	20935
66	1481	20623
67	1482	20321
68	1484	20036
69	1487	19763
70	1489	19488
71	1491	19221
72	1493	18965
73	1495	18709
74	1496	18460
75	1499	18228
76	1502	18007
77	1504	17780
78	1506	17559
79	1507	17339
80	1509	17125
81	1511	16917
82	1512	16705
83	1516	16535
84	1518	16345
85	1520	16164
86	1522	15981
87	1524	15801
88	1526	15626
89	1530	15479
90	1533	15320
91	1535	15157
92	1537	14996
93	1539	14836
94	1540	14679
95	1542	14527
96	1545	14390
97	1547	14242
98	1549	14098
99	1550	13955
100	1552	13816
101	1553	13680
102	1555	13547
103	1560	13440
104	1562	13315
105	1564	13191
106	1566	13071
107	1568	12951
108	1569	12832
109	1571	12714
110	1575	12615
111	1577	12503
112	1579	12394
113	1580	12287
114	1583	12182
115	1584	12077
116	1586	11970
117	1590	11889
118	1592	11791
119	1594	11694
120	1596	11598
121	1597	11500
122	1599	11405
123	1601	11311
124	1605	11235
125	1606	11146
126	1608	11054
127	1609	10967
128	1611	10882
129	1613	10797
130	1615	10714
131	1618	10644
132	1621	10569
133	1623	10489
134	1624	10410
135	1626	10331
136	1628	10255
137	1629	10179
138	1631	10104
139	1634	10039
140	1635	9966
141	1637	9891
142	1638	9822
143	1640	9752
144	1642	9686
145	1644	9621
146	1650	9575
147	1652	9511
148	1654	9447
149	1656	9384
150	1658	9322
151	1660	9261
152	1666	9224
153	1669	9168
154	1672	9120
155	1675	9062
156	1679	9019
157	1681	8962
158	1683	8906
159	1686	8851
160	1687	8791
161	1689	8739
162	1693	8695
163	1695	8644
164	1697	8592
165	1699	8540
166	1702	8490
167	1704	8440
168	1708	8400
169	1711	8354
170	1713	8306
171	1715	8256
172	1717	8208
173	1718	8159
174	1721	8114
175	1724	8072
176	1725	8024
177	1727	7976
178	1728	7929
179	1730	7883
180	1732	7838
181	1733	7793
182	1736	7754
183	1739	7713
184	1740	7668
185	1742	7625
186	1743	7581
187	1745	7539
188	1747	7497
189	1748	7456
190	1752	7424
191	1754	7384
192	1756	7346
193	1759	7308
194	1761	7270
195	1762	7231
196	1764	7193
197	1767	7159
198	1769	7121
199	1771	7084
200	1772	7046
201	1774	7009
202	1776	6973
203	1778	6937
204	1782	6910
205	1783	6875
206	1785	6840
207	1787	6805
208	1788	6770
209	1790	6736
210	1792	6702
211	1796	6678
212	1798	6645
213	1800	6611
214	1801	6578
215	1803	6546
216	1805	6514
217	1807	6482
218	1811	6460
219	1813	6429
220	1815	6398
221	1816	6367
222	1818	6336
223	1820	6306
224	1822	6276
225	1826	6253
226	1828	6224
227	1829	6195
228	1831	6166
229	1833	6137
230	1834	6108
231	1836	6080
232	1840	6058
233	1842	6031
234	1844	6004
235	1846	5977
236	1849	5952
237	1850	5925
238	1852	5898
239	1856	5879
240	1858	5852
241	1859	5825
242	1861	5799
243	1863	5773
244	1865	5747
245	1866	5722
246	1870	5702
247	1872	5677
248	1874	5652
249	1875	5627
250	1877	5602
251	1879	5578
252	1880	5553
253	1882	5529
254	1887	5514
255	1889	5489
256	1890	5466
257	1892	5442
258	1894	5419
259	1895	5396
260	1897	5373
261	1901	5357
262	1903	5334
263	1905	5312
264	1907	5289
265	1908	5267
266	1910	5246
267	1912	5224
268	1916	5208
269	1918	5188
270	1921	5167
271	1922	5146
272	1924	5124
273	1926	5103
274	1927	5082
275	1931	5066
276	1933	5046
277	1935	5026
278	1937	5005
279	1939	4986
280	1940	4965
281	1942	4945
282	1946	4930
283	1948	4911
284	1949	4891
285	1951	4871
286	1952	4851
287	1954	4832
288	1956	4813
289	1958	4793
290	1962	4781
291	1964	4762
292	1965	4743
293	1967	4725
294	1969	4706
295	1971	4688
296	1972	4670
297	1977	4657
298	1978	4639
299	1980	4621
300	1982	4602
301	1983	4584
302	1985	4567
303	1987	4549
304	1990	4536
305	1992	4519
306	1994	4501
307	1995	4484
308	1997	4466
309	1999	4449
310	2000	4432
311	2002	4415
312	2005	4401
313	2007	4385
314	2008	4368
315	2010	4352
316	2012	4335
317	2013	4318
318	2015	4302
319	2017	4286
320	2020	4273
321	2022	4258
322	2024	4243
323	2026	4228
324	2028	4213
325	2030	4197
326	2032	4182
327	2035	4171
328	2037	4156
329	2039	4140
330	2040	4124
331	2042	4109
332	2043	4093
333	2045	4078
334	2047	4063
335	2051	4053
336	2052	4038
337	2054	4023
338	2056	4009
339	2057	3994
340	2059	3979
341	2060	3965
342	2062	3950
343	2066	3941
344	2068	3926
345	2070	3912
346	2071	3898
347	2073	3884
348	2074	3869
349	2076	3855
350	2079	3845
351	2081	3832
352	2083	3819
353	2085	3805
354	2087	3792
355	2089	3779
356	2090	3765
357	2092	3752
358	2095	3742
359	2097	3728
360	2099	3715
361	2100	3702
362	2102	3689
363	2103	3676
364	2105	3663
365	2107	3651
366	2111	3641
367	2112	3628
368	2114	3615
369	2116	3603
370	2118	3591
371	2119	3578
372	2121	3566
373	2125	3557
374	2127	3545
375	2129	3534
376	2132	3523
377	2134	3512
378	2136	3500
379	2141	3494
380	2143	3482
381	2145	3470
382	2146	3458
383	2148	3447
384	2150	3435
385	2156	3429
386	2158	3419
387	2160	3408
388	2163	3397
389	2165	3386
390	2168	3377
391	2171	3367
392	2173	3357
393	2175	3346
394	2177	3335
395	2179	3324
396	2184	3317
397	2186	3307
398	2188	3296
399	2190	3286
400	2193	3276
401	2195	3265
402	2200	3259
403	2202	3249
404	2204	3239
405	2206	3228
406	2208	3218
407	2210	3207
408	2214	3199
409	2216	3188
410	2218	3178
411	2220	3168
412	2222	3158
413	2224	3148
414	2225	3137
415	2229	3130
416	2231	3120
417	2233	3109
418	2235	3099
419	2237	3089
420	2239	3079
421	2243	3073
422	2246	3063
423	2248	3053
424	2249	3043
425	2251	3033
426	2253	3023
427	2254	3013
428	2257	3004
429	2260	2996
430	2261	2985
431	2263	2975
432	2264	2965
433	2266	2955
434	2268	2945
435	2269	2936
436	2271	2927
437	2274	2918
438	2276	2908
439	2277	2898
440	2279	2889
441	2280	2879
442	2282	2869
443	2284	2860
444	2287	2852
445	2289	2843
446	2291	2834
447	2292	2824
448	2294	2815
449	2295	2805
450	2297	2796
451	2298	2787
452	2302	2780
453	2304	2771
454	2306	2762
455	2308	2753
456	2310	2745
457	2311	2736
458	2313	2726
459	2317	2720
460	2319	2711
461	2321	2702
462	2322	2693
463	2324	2684
464	2325	2675
465	2327	2667
466	2329	2658
467	2332	2651
468	2334	2643
469	2336	2634
470	2337	2625
471	2339	2616
472	2341	2608
473	2342	2599
474	2344	2590
475	2347	2584
476	2349	2576
477	2351	2567
478	2352	2559
479	2354	2550
480	2355	2542
481	2357	2533
482	2359	2525
483	2362	2519
484	2364	2510
485	2366	2502
486	2367	2493
487	2369	2485
488	2370	2477
489	2372	2469
490	2373	2460
491	2377	2455
492	2379	2446
493	2381	2439
494	2382	2431
495	2384	2422
496	2386	2414
497	2387	2406
498	2389	2398
499	2392	2392
500	2394	2385
501	2396	2377
502	2398	2369
503	2400	2362
504	2402	2354
505	2403	2346
506	2407	2341
507	2409	2333
508	2410	2325
509	2412	2317
510	2413	2310
511	2415	2302
512	2417	2294
513	2418	2287
514	2422	2281
515	2424	2273
516	2425	2266
517	2427	2258
518	2428	2251
519	2430	2243
520	2432	2236
521	2433	2228
522	2437	2223
523	2439	2216
524	2441	2208
525	2443	2201
526	2444	2194
527	2446	2187
528	2448	2180
529	2453	2176
530	2456	2169
531	2458	2162
532	2460	2156
533	2462	2149
534	2466	2144
535	2469	2138
536	2472	2131
537	2474	2124
538	2476	2118
539	2478	2111
540	2483	2106
541	2485	2100
542	2488	2094
543	2490	2087
544	2492	2081
545	2495	2074
546	2497	2068
547	2499	2061
548	2501	2054
549	2502	2047
550	2504	2040
551	2506	2033
552	2507	2027
553	2511	2021
554	2513	2015
555	2514	2008
556	2516	2001
557	2518	1994
558	2519	1987
559	2521	1980
560	2523	1974
561	2527	1969
562	2528	1962
563	2530	1955
564	2531	1949
565	2533	1942
566	2534	1935
567	2536	1929
568	2538	1922
